y_m,Qdot_J_kg,T_K,batteryGasNMC,Ux,Uy,Uz,T_degree
1.0,9172560.0,1198.04,0.120784,0.0,0.0268847,0.427818,925.04
0.974747,351742.0,351.129,0.00140308,0.0,0.212081,0.598994,78.12900000000002
0.949495,5519.7,296.154,4.02103e-05,0.0,0.408835,0.517372,23.153999999999996
0.924242,341.188,293.334,3.4501e-06,0.0,0.564791,0.465872,20.334000000000003
0.89899,32.3217,293.027,4.10607e-07,0.0,0.691174,0.430362,20.026999999999987
0.873737,3.73379,292.985,5.58604e-08,0.0,0.799024,0.407408,19.985000000000014
0.848485,0.489264,292.98,8.18916e-09,0.0,0.894683,0.392945,19.980000000000018
0.823232,0.0692508,292.979,1.25232e-09,0.0,0.981741,0.383696,19.978999999999985
0.79798,0.0101707,292.978,1.94287e-10,0.0,1.06229,0.377434,19.97800000000001
0.772727,0.00146973,292.978,2.92182e-11,0.0,1.13757,0.37278,19.97800000000001
0.747475,0.000206381,292.978,4.2236e-12,0.0,1.20834,0.368925,19.97800000000001
0.722222,2.78154e-05,292.978,5.80972e-13,0.0,1.2751,0.365421,19.97800000000001
0.69697,3.58818e-06,292.978,7.59379e-14,4.857910000000001e-34,1.33814,0.362029,19.97800000000001
0.671717,4.33763e-07,292.978,9.24338e-15,0.0,1.39767,0.358627,19.97800000000001
0.646465,4.91612e-08,292.978,1.04917e-15,0.0,1.45381,0.355162,19.97800000000001
0.621212,5.32521e-09,292.978,1.13291e-16,0.0,1.50666,0.351615,19.97800000000001
0.59596,6.02689e-10,292.978,1.27304e-17,0.0,1.55626,0.347989,19.97800000000001
0.570707,1.28797e-10,292.978,2.6898700000000002e-18,0.0,1.60264,0.344296,19.97800000000001
0.545455,9.38819e-11,292.977,1.93453e-18,0.0,1.64584,0.340551,19.976999999999975
0.520202,1.03881e-10,292.977,2.1113800000000003e-18,0.0,1.68585,0.336775,19.976999999999975
0.494949,1.19895e-10,292.977,2.40278e-18,0.0,1.7227,0.332984,19.976999999999975
0.469697,1.3822e-10,292.977,2.7313900000000002e-18,0.0,1.75638,0.3292,19.976999999999975
0.444444,1.58943e-10,292.977,3.0980800000000002e-18,0.0,1.7869,0.325436,19.976999999999975
0.419192,1.82454e-10,292.977,3.50963e-18,7.42852e-36,1.81428,0.321707,19.976999999999975
0.393939,2.076e-10,292.977,3.94299e-18,0.0,1.8385,0.318028,19.976999999999975
0.368687,2.35058e-10,292.977,4.4104400000000005e-18,0.0,1.8596,0.314411,19.976999999999975
0.343434,2.65187e-10,292.977,4.91753e-18,0.0,1.87756,0.310866,19.976999999999975
0.318182,2.98104e-10,292.977,5.464850000000001e-18,0.0,1.89242,0.307403,19.976999999999975
